Id,connectivity_type,region,hub,hostname,ip_management,brand,model,serial_number,ot,installation_date,config_status,comments,remote_device,remote_ports,uplink_ports,Created at,Updated at,end_of_support,firmware_version
19,Acceso,AMBA,AVA,SCO8.AVA-TRANSITION,10.106.13.24,Transition,SM24-100SFP-AH,1013000100,,,Instalado,OT 82959050 Mail UM 06/03,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:33 UTC,,
499,Acceso,AMBA,AVA,SCO-AVA10,10.106.13.130,Transition,S4224,14585788,"",2018-01-10,Instalado,Se entrega equipo a UM para su instalación.,SAC.AVA1,ge-0/0/20 y ge-0/0/21 ,27 y 28,2017-10-27 13:28:18 UTC,2018-01-11 12:17:29 UTC,,
639,Acceso,AMBA,AVA,SCO-AVA11,10.106.13.253,Transition,S4224,"","",2019-04-23,Instalado,"","","","",2019-03-11 19:50:49 UTC,2019-04-23 15:38:33 UTC,,2.2.9.9
18,Acceso,AMBA,AVA,SCO-AVA4,10.106.13.22,Transition,SM24-1000SFP-AH,"","",,Instalado,Enviado a Instalar 20/08,"","","",2017-05-15 13:15:28 UTC,2017-10-27 12:02:41 UTC,,
20,Acceso,AMBA,AVA,SCO-AVA6,10.106.13.33,Transition,S4224,14525433,"",,Instalado,Se pidio Factibilizar puertos. OT #164093810. Se envio a UM 23/6,SAC-AVA1,ge-0/0/12 y ge-0/0/13,27-28,2017-05-15 13:15:28 UTC,2018-11-14 19:32:42 UTC,,2.2.9.9
21,Acceso,AMBA,AVA,SCO-AVA7,10.106.13.35,Transition,S4224,14526161,"",,Instalado,Se pidio Factibilizar puertos. OT #164093810 Se envio a UM 23/6,SAC-AVA1,ge-0/0/14 y ge-0/0/15,27-28,2017-05-15 13:15:28 UTC,2018-11-14 19:34:28 UTC,,2.2.9.9
32,Acceso,AMBA,AVE,SAC.AVE1,10.106.128.105,Juniper,EX4550,"","",,Instalado,"","","","",2017-05-15 13:15:28 UTC,2017-09-28 14:04:18 UTC,,
24,Acceso,AMBA,AVE,SCO.AVE1,10.106.128.38,MRV,MRV OA2000,"","",,Instalado,Ethernet 1/25,"","","",2017-05-15 13:15:28 UTC,2018-07-30 15:00:02 UTC,,
606,Acceso,AMBA,AVE,SCO-AVE10,10.106.128.61,Transition,S4224,14525453,"",2019-03-15,Instalado,"",SAC-AVE1,ge-0/0/20 y ge-0/0/21,27 y 28,2018-12-07 17:43:02 UTC,2019-03-15 15:11:42 UTC,,2.2.9.9
25,Acceso,AMBA,AVE,SCO.AVE2,10.106.128.20,Transition,SM24-100SFP-AH,0012CFFA1BE4,"",,Instalado,"","","",27-28,2017-05-15 13:15:28 UTC,2018-07-30 14:59:10 UTC,,
26,Acceso,AMBA,AVE,SCO.AVE3,10.106.128.3,Transition,SM24-100SFP-AH,1010000059,"",,Instalado,25/04 Mail enviado a UM / OT 35694586,"","",27-28,2017-05-15 13:15:28 UTC,2018-07-30 14:58:47 UTC,,
28,Acceso,AMBA,AVE,SCO.AVE4,10.106.128.4,Transition,S4224,"","",2019-01-08,Instalado,"","","","",2017-05-15 13:15:28 UTC,2019-03-01 16:43:11 UTC,,2.2.9.9
27,Acceso,AMBA,AVE,SCO.AVE5,10.106.128.5,Transition,S4224,14525401,"",,Instalado,"",SAC.AVE1,ge-0/0/10 y ge-0/0/11,27-28,2017-05-15 13:15:28 UTC,2019-04-15 16:25:08 UTC,,2.2.9.9
29,Acceso,AMBA,AVE,SCO.AVE6,10.106.128.21,Transition,LIB4424,14569408,"",,Instalado,Se pide factibilidad de puertos a PIM-P OT# 253929883,SAC.AVE1,"",27-28,2017-05-15 13:15:28 UTC,2019-03-01 16:52:33 UTC,,6.0.1
30,Acceso,AMBA,AVE,SCO.AVE7,10.106.128.43,Transition,S4224,"","",2017-05-19,Instalado,"",SAC-AVE1 - EX4550,ge-0/0/14 y ge-0/0/15 ,27-28,2017-05-15 13:15:28 UTC,2019-01-09 12:53:29 UTC,,2.2.9.9
608,Acceso,AMBA,AVE,SCO-AVE8,10.106.128.58,Transition,S4224,"","",2018-12-26,Instalado,"","","","",2018-12-07 17:44:56 UTC,2018-12-26 21:28:16 UTC,,2.2.9.9
609,Acceso,AMBA,AVE,SCO-AVE9,10.106.128.59,Transition,S4224,"","",2018-12-26,Instalado,"","","","",2018-12-07 17:46:01 UTC,2018-12-26 21:29:16 UTC,,2.2.9.9
33,Acceso,BUENOS AIRES,AZU,SCO-AZU1,10.106.62.2,Transition,S4224,"","",,Instalado,"","","","",2017-05-15 13:15:28 UTC,2019-01-09 12:55:40 UTC,,2.2.9.9
657,Acceso,SUR,AZU,SCO-AZU2,10.106.62.101,Transition,S4224,"","",,Pendiente configuración,"","","","",2019-03-27 16:39:25 UTC,2019-03-27 16:39:25 UTC,,""
34,Acceso,AMBA,BAL,SCO1.BAL-TRANSITION,10.106.153.10,Transition,SM24-100SFP-AH,0012CFFA2244,,,Instalado,,,,27,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
35,Acceso,AMBA,BAL,SCO2.BAL-TRANSITION,10.106.153.5,Transition,SM24-100SFP-AH,0012CFFA1F24,,,Instalado,Factibilidad 5443339 / PIM-M 5446832 - 01/06 enviado a UM,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
36,Acceso,AMBA,BAL,SCO3.BAL-TRANSITION,10.106.153.6,Transition,SM24-100SFP-AH,1033000065,,,Instalado,14/11 Mail enviado a UM,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
37,Acceso,AMBA,BAL,SCO4.BAL-TRANSITION,10.106.153.9,Transition,SM24-100SFP-AH,0012CFFA2264,,,Instalado,OT 86802936 UM 27/03,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
39,Acceso,AMBA,BAL,SCO.BAL7,10.106.153.27,Transition,S4224,,,,Instalado,Se pide factibilidad de puertos a PIM-P OT# 218834728. Se envia a UM 11/5/2016,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:28 UTC,,
617,Acceso,AMBA,BAL,SCO.BAL8,10.106.153.48,Transition,S4224,"","",2019-01-04,Instalado,"","","","",2018-12-26 20:09:27 UTC,2019-01-09 15:37:29 UTC,,2.2.9.9
38,Acceso,AMBA,BAL,SWF-BAL5-AC,10.106.153.18,Transition,S4224,14531231,,,Instalado,Se pide factibilidad a PIM-P de puertos OT# 160715574. Se pide a UM instalacion 4/06. Pendiente SFP Rev B,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
45,Acceso,BUENOS AIRES,BAR,SCO-BAR1,10.106.55.2,Transition,S4224,14543336,"",,Instalado,Se solicita factibilidad de puertos a PIM-P OT# 182433348. Se envia mail a UM 24/11,ROA1.BAR,"",27-28,2017-05-15 13:15:28 UTC,2018-11-29 13:40:57 UTC,,2.2.9.9
40,Acceso,SUR,BBO,SCO1.BBO-TRANSITION,10.106.64.2,Transition,SM24-100SFP-AH,0012CFFA1B24,,,Instalado,,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
41,Acceso,SUR,BBO,SCO2.BBO-TRANSITION,10.106.64.6,Transition,SM24-100SFP-AH,0012CFFA1F84,,,Instalado,25/04 Mail enviado a UM / OT 35345124,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
42,Acceso,SUR,BBO,SCO-BBO3,10.106.64.7,Transition,S4224,14525460,"",,Instalado,OT #131627514 UM 6/1,"","",27-28,2017-05-15 13:15:28 UTC,2018-11-29 13:42:29 UTC,,2.2.9.9
43,Acceso,SUR,BBO,SCO-BBO4,10.106.64.17,Transition,S4224,14543324,"",,Instalado,Se solicita factibilidad de puertos a PIM-P OT# 193820344. Se envia a UM 24/02,"","",27-28,2017-05-15 13:15:28 UTC,2018-11-29 13:42:57 UTC,,2.2.9.9
545,Acceso,SUR,BBO,SCO-BBO5,10.106.64.55,Transition,S4224,"","",2018-11-12,Instalado,"",RAC.BBO1,ge-0/0/8  y ge-0/0/9,27 y 28,2018-08-24 18:30:02 UTC,2018-11-12 20:44:00 UTC,,""
44,Acceso,BUENOS AIRES,BCE,SCO.BCE1,10.106.65.2,Transition,S4224,1010000067,"",,Instalado,Pedido cambio por SM24-100 06/09/2011,"","",27-28,2017-05-15 13:15:28 UTC,2019-01-04 20:43:45 UTC,,""
60,Acceso,AMBA,BEL,SAC.BEL1,10.106.9.105,Juniper,EX4550,"","",,Instalado,"","","","",2017-05-15 13:15:28 UTC,2017-09-28 14:04:24 UTC,,
55,Acceso,AMBA,BEL,SCO10.BEL-TRANSITION,10.106.9.25,Transition,SM24-100SFP-AH,1013000020,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
56,Acceso,AMBA,BEL,SCO11.BEL-TRANSITION,10.106.9.38,Transition,S4224,14525410,,,Instalado,#117626824,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
48,Acceso,AMBA,BEL,SCO1.BEL-OA2000,10.106.9.4,MRV,MRV OA2000,1033000002,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
49,Acceso,AMBA,BEL,SCO3.BEL-OA2000,10.106.9.5,MRV,MRV OA2000,0012CFFA1F04,,,Instalado,,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
46,Acceso,AMBA,BEL,SCO4.BEL-OA2000,10.106.9.2,MRV,MRV OA2000,1013000085,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
50,Acceso,AMBA,BEL,SCO4.BEL-TRANSITION,10.106.9.6,Transition,SM24-100SFP-AH,1033000012,,,Instalado,04/04/2011.. Se envio datos para configuracion a UM . Se solicito Factibilidad el 18/032011 - OT Solicitud  a PIM-P 4063070,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
47,Acceso,AMBA,BEL,SCO5.BEL-TRANSITION,10.106.9.3,Transition,SM24-100SFP-AH,1033000092,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
51,Acceso,AMBA,BEL,SCO6.BEL-TRANSITION,10.106.9.7,Transition,SM24-100SFP-AH,1033000003,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
52,Acceso,AMBA,BEL,SCO7.BEL-TRANSITION,10.106.9.8,Transition,SM24-100SFP-AH,0012CFFA2584,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
53,Acceso,AMBA,BEL,SCO8.BEL-TRANSITION,10.106.9.9,Transition,SM24-100SFP-AH,0012CFFA1D04,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
54,Acceso,AMBA,BEL,SCO9.BEL-TRANSITION,10.106.9.10,Transition,SM24-100SFP-AH,0012CFE76CDC,,,Instalado,24/05 se envia mail a UM,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
58,Acceso,AMBA,BEL,SCO-BEL13,10.106.9.69,Transition,S4224,14543338,"",,Instalado,Se solicita factibilidad de puertos a PIM-P OT# 189695936. se envia a UM 13/1/2016,"","",27-28,2017-05-15 13:15:28 UTC,2019-03-11 20:05:52 UTC,,""
498,Acceso,AMBA,BEL,SCO.BEL14,10.106.9.98,Transition,S4224,14585793,"",2017-11-07,Instalado,Equipo enviado a UM para su instalación.,SAC.BEL1,ge-0/0/28 y ge-0/0/29 ,27 y 28,2017-10-27 12:36:44 UTC,2017-11-07 13:25:13 UTC,,
524,Acceso,AMBA,BEL,SCO-BEL15,10.106.9.99,Transition,S4224,"","",2018-06-05,Instalado,"",SAC.BEL1,ge-1/0/2 - ge-1/0/3,27 y 28,2018-05-10 18:30:33 UTC,2018-06-05 14:26:02 UTC,,
654,Acceso,AMBA,BEL,SCO-BEL16,10.106.9.203,Transition,S4224,"","",,Pendiente configuración,"","","","",2019-03-14 19:22:00 UTC,2019-03-14 19:22:00 UTC,,""
57,Acceso,AMBA,BEL,SWF-BEL12-AC,10.106.9.46,Transition,S4224,14526164,,,Instalado,Se solicita factibilidad de puertos a PIM-P OT# 166735285,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
61,Acceso,BUENOS AIRES,BER,SCO1.BER-SM24,10.106.151.10,Transition,SM24-100SFP-AH,1010000072,,,Instalado,Pedido cambio por SM24-100 06/09/2011,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
525,Acceso,AMBA,BER,SCO-BER2,10.106.151.12,Transition,S4224,"","",,Instalado,Enviado a HUB 15/5/2018,ROA1.BER1,ge-0/0/7 - ge-11/0/4,27 y 28,2018-05-15 13:42:46 UTC,2018-12-21 02:15:58 UTC,,2.2.9.9
62,Acceso,BUENOS AIRES,BOL,SCO1.BOL-ML4004,10.106.52.2,Transition,SM24-100SFP-AH,1013000057,,,Instalado,Pedido cambio por SM24-100 06/09/2011,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
626,Acceso,Buenos Aires,BOL,SCO-BOL2,10.106.52.3,Transition,S4224,14643428,"",2019-02-21,Instalado,"","","","",2019-01-15 15:49:35 UTC,2019-02-21 13:07:07 UTC,,2.2.2.9
82,Acceso,AMBA,BON,SAC.BON1,10.106.0.105,Juniper,EX4550,LX0214451943,"",,Instalado,"","","",xe-0/0/0- xe-0/0/1,2017-05-15 13:15:28 UTC,2017-09-28 14:04:32 UTC,,
72,Acceso,AMBA,BON,SCO10.BON-TRANSITION,10.106.0.31,Transition,SM24-100SFP-AH,1010000073,,,Instalado,05/10 Mail enviado a UM,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
74,Acceso,AMBA,BON,SCO12.BON-TRANSITION,10.106.0.61,Transition,SM24-100SFP-AH,0012CFFA1D24,,,Instalado,08/04 Se envio mail a UM,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
75,Acceso,AMBA,BON,SCO13.BON-TRANSITION,10.106.0.53,Transition,SM24-100SFP-AH,0012CFFA2564,,,Instalado,OT # 60627176 - 22/10 mail enviado a UM,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
76,Acceso,AMBA,BON,SCO14.BON-TRANSITION,10.106.0.60,Transition,SM24-100SFP-AH,1033000044,,,Instalado,OT # 78830166 - 07/02 mail enviado a UM,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
77,Acceso,AMBA,BON,SCO15.BON-TRANSITION,10.106.0.83,Transition,S4224,14525413,"",,Instalado,OT #117632129 PIM p 03/10,"","",27 y 28,2017-05-15 13:15:28 UTC,2019-04-17 18:26:01 UTC,,2.2.9.9
78,Acceso,AMBA,BON,SCO16-BON-TRANSITION,10.106.0.89,Transition,S4224,14525466,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
66,Acceso,AMBA,BON,SCO1.BON-NC316,10.103.0.4,MRV,MRV OA2000,,,,Instalado,,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:28 UTC,,
63,Acceso,AMBA,BON,SCO2.BON-OA2000,10.103.0.7,MRV,MRV OA2000,00201A259280,,,Instalado,,,,25-26,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
64,Acceso,AMBA,BON,SCO3.BON-OA2000,10.103.0.8,MRV,MRV OA2000,00201A259660,,,Instalado,,,,,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
65,Acceso,AMBA,BON,SCO4.BON-OA2000,10.103.0.9,MRV,MRV OA2000,00201A251060,,,Instalado,,,,25-26,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
67,Acceso,AMBA,BON,SCO5.BON-OA2000,10.103.0.10,MRV,MRV OA2000,00201A2B2D88,,,Instalado,,,,25-26,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
68,Acceso,AMBA,BON,SCO6.BON-OA2000,10.103.0.11,MRV,MRV OA2000,00201A2D8FC0,,,Instalado,,,,25-26,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
69,Acceso,AMBA,BON,SCO7.BON-TRANSITION,10.106.0.15,Transition,SM24-100SFP-AH,1033000071,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
70,Acceso,AMBA,BON,SCO8.BON-TRANSITION,10.106.0.32,Transition,SM24-100SFP-AH,0012CFFA2044,,,Instalado,Se pidio Factibilidad Ot: 4963656 ( 30/11/2011 ) - Se mando a UM para Instalacion ( 02/12/2011 ),,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
71,Acceso,AMBA,BON,SCO9.BON-TRANSITION,10.106.0.7,Transition,SM24-100SFP-AH,1033000095,,,Instalado,,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
73,Acceso,AMBA,BON,SCO-BON11,10.106.0.25,Transition,S4224,14605795,"",,Instalado,"",SAC-BON,"",27 y 28,2017-05-15 13:15:28 UTC,2019-04-17 18:25:19 UTC,,2.2.9.9
80,Acceso,AMBA,BON,SCO.BON18,10.106.0.113,Transition,S4224,14543317,"",,Instalado,"","","",27-28,2017-05-15 13:15:28 UTC,2019-04-17 18:26:35 UTC,,2.2.9.9
444,Acceso,AMBA,BON,SCO.BON19,10.106.0.145,Transition,S4224,14581785,"",2017-06-06,Instalado,"",SAC-BON1 - EX4550,ge-1/0/16 y ge-1/0/17,27-28,2017-05-15 19:17:19 UTC,2019-04-17 18:27:00 UTC,,2.2.9.9
515,Acceso,AMBA,BON,SCO.BON20,10.106.0.156,Transition,S4224,14581787,"",2017-12-29,Instalado,"",SAC.BON1,ge-1/0/18 y ge-1/0/19,27 y 28,2018-02-15 18:23:30 UTC,2019-04-17 18:27:15 UTC,,2.2.9.9
79,Acceso,AMBA,BON,SWF-BON17-AC,10.106.0.94,Transition,S4224,14525431,,,Instalado,Se solicita factibilidad de puertos a PIM-P OT#  166696065. Se envia mail a UM 10/7,,,27-28,2017-05-15 13:15:28 UTC,2017-05-15 13:15:34 UTC,,
83,Acceso,BUENOS AIRES,BRA,SCO.BRA1,10.106.54.10,Transition,S4224,1010000058,"",,Instalado,Aún no está instalado. Pedido instalar 15/08/2011,"","",27-28,2017-05-15 13:15:28 UTC,2019-02-04 18:30:45 UTC,,""
84,Acceso,BUENOS AIRES,BRA,SCO-BRA2,10.106.54.6,Transition,S4224,14569412,"",,Instalado,Se solicita puertos a PIM-P Maximo #35802,ROA1.BRA,"",27-28,2017-05-15 13:15:28 UTC,2018-11-29 13:37:23 UTC,,2.2.9.9
659,Acceso,CENTRO,BVI,SCO-BVI1,10.106.66.2,Transition,S4224,"","",,Pendiente configuración,"","","","",2019-03-27 17:31:53 UTC,2019-03-27 17:31:53 UTC,,""
431,Acceso,AMBA,BZA,SCO-BZA2,10.106.31.3,Transition,S4224,14525465,"",,Instalado,Se solicita factibilidad a PIM-P OT #160880359. Se envia mail a UM 5/6,"","",27-28,2017-05-15 13:15:33 UTC,2019-01-09 12:56:34 UTC,,2.2.9.9
85,Acceso,AMBA,CAB,SCO-CAB2,10.106.7.118,MRV,MRV OA2000,00201A251480,"",,Instalado,"","","","",2017-05-15 13:15:28 UTC,2019-01-31 15:55:19 UTC,,""
86,Acceso,AMBA,CAB,SCO-CAB3,10.103.7.5,MRV,MRV OA2000,00201A2D8F80,"",,Instalado,"","","",25-26,2017-05-15 13:15:28 UTC,2019-01-16 18:33:55 UTC,,""
87,Acceso,AMBA,CAB,SCO-CAB4,10.106.7.2,Transition,SM24-100SFP-AH,1010000032,"",,Instalado,Se solicito factibilidad bajo OT#4798614 - Se solicito a PIM-M puertos OT4801974,"","",27-28,2017-05-15 13:15:28 UTC,2019-01-16 18:35:40 UTC,,""
88,Acceso,AMBA,CAB,SCO-CAB5,10.106.7.10,Transition,SM24-100SFP-AH,1010000002,"",,Instalado,04/01/2012 - Se pidio Factibilidad ( Ot: 5052271 ),"","",27-28,2017-05-15 13:15:29 UTC,2019-01-16 18:35:00 UTC,,""
89,Acceso,AMBA,CAB,SCO-CAB6,10.106.7.8,Transition,SM24-100SFP-AH,1013000017,"",,Instalado,OT 86803982 UM 27/03,"","",27-28,2017-05-15 13:15:29 UTC,2019-01-16 18:34:32 UTC,,""
90,Acceso,AMBA,CAB,SCO-CAB7,10.106.7.18,Transition,S4224,14557848,"",,Instalado,Se solicita puertos a PIM-P OT#223227825,"","",27-28,2017-05-15 13:15:29 UTC,2018-11-29 14:47:52 UTC,,2.2.9.9
91,Acceso,AMBA,CAB,SCO-CAB8,10.106.7.19,Transition,S4224,"","",2017-05-16,Instalado,"",ROA - MX960,ge-11/3/0 y ge-11/3/1,27-28,2017-05-15 13:15:29 UTC,2019-01-31 07:12:50 UTC,,2.2.9.9
92,Acceso,AMBA,CAD,SCO.CAD1,10.106.28.2,Transition,S4224,13371B000192,"",,Instalado,Se solicita factibilidad de puertos a PIM-P OT# 217031778. Se envia mail a UM 2/5/2016,"","",01-feb,2017-05-15 13:15:29 UTC,2019-01-08 17:29:27 UTC,,""
93,Acceso,BUENOS AIRES,CAL,SCO-CAL1,10.106.130.2,Transition,S4224,0012CFFA1B04,"",,Instalado,Pedido cambio por SM24-100 06/09/2011,"","","",2017-05-15 13:15:29 UTC,2019-01-09 12:57:30 UTC,,2.2.9.9
94,Acceso,BUENOS AIRES,CAL,SCO.CAL2,10.106.130.6,Transition,S4224,14525432,"",,Instalado,Se solicita factibilidad de puertos a PIM-P OT# 164257532. Se envia a UM,"","",27-28,2017-05-15 13:15:29 UTC,2018-07-30 14:16:37 UTC,,
513,Acceso,Buenos Aires,CAL,SCO-CAL3,10.106.130.30,Transition,S4224,14531217,"",2018-01-11,Instalado,"",ROA1.CAL1,Gi0/0/0/22 y Gi0/7/0/23,27 y 28,2018-01-12 12:36:43 UTC,2019-01-09 12:58:15 UTC,,2.2.9.9
583,Acceso,Buenos Aires,CAL,SCO-CAL4,10.106.130.31,Transition,S4224,"","",2018-12-06,Instalado,"","","","",2018-12-03 15:37:14 UTC,2018-12-06 19:43:47 UTC,,2.2.9.9
584,Acceso,Buenos Aires,CAL,SCO-CAL5,10.106.130.32,Transition,S4224,"","",2018-12-06,Instalado,"","","","",2018-12-03 15:38:08 UTC,2018-12-06 19:43:24 UTC,,2.2.9.9
593,Acceso,AMBA,CAL,SCO-CAL6,10.106.130.33,Transition,S4224,14618345,"",2018-12-07,Instalado,"",ROA1.CAL,"",27 Y 28,2018-12-04 13:42:30 UTC,2018-12-10 16:47:05 UTC,,2.2.9.9
594,Acceso,AMBA,CAL,SCO-CAL7,10.106.130.34,Transition,S4224,14627268,"",2018-12-07,Instalado,"",ROA1.CAL,"",27 Y 28,2018-12-04 13:43:16 UTC,2018-12-10 16:47:22 UTC,,2.2.9.9
95,Acceso,AMBA,CAM,SCO-CAM1,10.106.33.2,Transition,SM24-100SFP-AH,0012CFFA2184,"",,Instalado,"","","",27-28,2017-05-15 13:15:29 UTC,2019-01-07 17:37:14 UTC,,""
